id,delivery_time
AC,21 days 00:51:25.600000
AL,24 days 13:03:09.103274559
AM,26 days 10:13:25.613793103
AP,27 days 04:26:29.850746268
BA,19 days 08:03:04.247235872
CE,21 days 06:23:52.394057857
DF,12 days 23:13:17.884615384
ES,15 days 18:56:36.134335839
GO,15 days 14:33:07.649463464
MA,21 days 13:45:05.167364016
MG,12 days 00:12:28.711819623
MS,15 days 14:50:22.763195435
MT,18 days 01:20:17.319413092
PA,23 days 18:33:00.021141649
PB,20 days 10:14:32.721470019
PE,18 days 10:45:35.106716886
PI,19 days 10:58:13.289915966
PR,11 days 23:47:52.704448507
RJ,15 days 07:25:35.403643724
RN,19 days 06:40:32.696202531
RO,19 days 08:55:43.954732510
RR,29 days 09:18:03.975609756
RS,15 days 07:12:23.863023952
SC,14 days 22:54:53.240552735
SE,21 days 12:28:29.707462686
SP,8 days 18:16:23.750061737
TO,17 days 15:47:36.609489051
