customer_city,customer_state,orders_late,late_orders_respect_total_%,days_diference_mean,diagnosis
sao paulo,SP,942,6.06,6 days 09:28:35.647558386,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
rio de janeiro,RJ,780,11.33,12 days 18:35:43.294871794,Retrasos severos: rutas largas o problemas logísticos regionales
salvador,BA,208,7.5,9 days 18:13:16.269230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
belo horizonte,MG,166,7.79,6 days 19:16:06.216867469,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
porto alegre,RS,158,10.39,9 days 19:06:22.715189873,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
brasilia,DF,147,10.18,6 days 15:19:53.836734693,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
campinas,SP,143,10.37,6 days 19:15:24.930069930,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
fortaleza,CE,111,8.92,14 days 13:02:09.702702702,Retrasos severos: rutas largas o problemas logísticos regionales
niteroi,RJ,103,8.66,13 days 03:37:01.466019417,Retrasos severos: rutas largas o problemas logísticos regionales
sao goncalo,RJ,96,10.23,12 days 03:29:19.427083333,Retrasos severos: rutas largas o problemas logísticos regionales
recife,PE,79,9.31,11 days 17:48:31.126582278,Retrasos severos: rutas largas o problemas logísticos regionales
goiania,GO,76,9.55,8 days 01:15:12.513157894,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
sao luis,MA,75,10.05,8 days 02:02:34.880000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
curitiba,PR,74,10.38,7 days 13:49:17.891891891,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
guarulhos,SP,72,10.4,5 days 13:45:49.486111111,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
florianopolis,SC,71,10.27,7 days 03:45:13.450704225,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
maceio,AL,70,10.7,9 days 23:21:39.728571428,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
santos,SP,65,10.27,6 days 01:09:03.969230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
teresina,PI,60,9.79,13 days 10:24:38.683333333,Retrasos severos: rutas largas o problemas logísticos regionales
nova iguacu,RJ,57,10.0,10 days 15:34:43.736842105,Retrasos severos: rutas largas o problemas logísticos regionales
sao bernardo do campo,SP,57,10.09,9 days 01:47:39.491228070,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
vila velha,ES,50,9.8,9 days 18:18:56.160000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
serra,ES,43,9.71,8 days 12:18:44.279069767,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
vitoria,ES,43,9.73,5 days 20:26:37.837209302,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
belem,PA,42,9.7,13 days 08:40:54.714285714,Retrasos severos: rutas largas o problemas logísticos regionales
macae,RJ,42,9.84,15 days 11:18:48.142857142,Retrasos severos: rutas largas o problemas logísticos regionales
volta redonda,RJ,41,9.62,10 days 11:25:17.170731707,Retrasos severos: rutas largas o problemas logísticos regionales
sao jose dos campos,SP,40,9.78,4 days 22:13:30.300000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
campo grande,MS,38,9.92,7 days 05:05:35.184210526,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
osasco,SP,35,9.23,5 days 19:06:30.342857142,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
campos dos goytacazes,RJ,34,9.09,10 days 20:52:37.588235294,Retrasos severos: rutas largas o problemas logísticos regionales
jundiai,SP,33,8.94,7 days 19:29:07.878787878,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
duque de caxias,RJ,32,9.07,9 days 14:54:06.562500,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
santo andre,SP,31,9.25,7 days 04:46:37.903225806,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
petropolis,RJ,30,8.98,11 days 23:22:41.133333333,Retrasos severos: rutas largas o problemas logísticos regionales
nova friburgo,RJ,30,9.15,20 days 01:00:40.100000,Retrasos severos: rutas largas o problemas logísticos regionales
hortolandia,SP,30,9.29,6 days 10:05:31.933333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
aracaju,SE,29,9.06,15 days 05:09:10.310344827,Retrasos severos: rutas largas o problemas logísticos regionales
maua,SP,29,9.32,8 days 03:46:24.586206896,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
joao pessoa,PB,29,9.48,9 days 19:13:09.862068965,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
praia grande,SP,28,9.46,12 days 13:02:48.750000,Retrasos severos: rutas largas o problemas logísticos regionales
sao joao de meriti,RJ,27,9.44,16 days 02:34:06.333333333,Retrasos severos: rutas largas o problemas logísticos regionales
contagem,MG,27,9.47,6 days 21:35:15.666666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
cabo frio,RJ,27,9.61,10 days 11:12:57.407407407,Retrasos severos: rutas largas o problemas logísticos regionales
rio das ostras,RJ,27,9.64,19 days 14:14:36.666666666,Retrasos severos: rutas largas o problemas logísticos regionales
sao jose,SC,26,9.39,9 days 15:36:11.269230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
sorocaba,SP,25,9.16,3 days 03:32:48.960000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
juiz de fora,MG,25,9.23,7 days 18:05:26.600000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
joinville,SC,24,8.89,9 days 11:35:45.916666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
diadema,SP,23,8.65,8 days 09:17:00.347826087,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
barra mansa,RJ,22,8.33,7 days 23:34:24.045454545,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
resende,RJ,22,8.59,11 days 09:35:11.590909090,Retrasos severos: rutas largas o problemas logísticos regionales
natal,RN,22,8.8,12 days 23:16:42.636363636,Retrasos severos: rutas largas o problemas logísticos regionales
sumare,SP,22,8.87,7 days 05:09:13.818181818,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
canoas,RS,21,8.5,7 days 11:51:55.142857142,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
marica,RJ,21,8.75,11 days 07:47:38.238095238,Retrasos severos: rutas largas o problemas logísticos regionales
barueri,SP,21,8.79,8 days 19:23:55.761904761,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
carapicuiba,SP,20,8.4,5 days 18:02:05.700000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
ribeirao preto,SP,19,8.05,6 days 03:15:46.421052631,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
itaquaquecetuba,SP,19,8.12,9 days 00:55:36.315789473,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
sao vicente,SP,19,8.19,26 days 23:41:52,Retrasos severos: rutas largas o problemas logísticos regionales
sao vicente,SP,19,8.19,9 days 12:39:39.421052631,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
cuiaba,MT,18,7.96,11 days 08:37:10.111111111,Retrasos severos: rutas largas o problemas logísticos regionales
americana,SP,18,8.0,3 days 03:57:57.222222222,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
caxias do sul,RS,18,8.04,6 days 10:09:47.611111111,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
teresopolis,RJ,17,7.59,13 days 22:11:34.235294117,Retrasos severos: rutas largas o problemas logísticos regionales
balneario camboriu,SC,16,7.58,7 days 13:26:53.875000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
itajai,SC,15,7.14,7 days 05:50:22.533333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
santa maria,RS,15,7.25,56 days 05:12:09,Retrasos severos: rutas largas o problemas logísticos regionales
santa maria,RS,15,7.25,17 days 11:07:26.266666666,Retrasos severos: rutas largas o problemas logísticos regionales
rio grande,RS,15,7.39,9 days 10:20:08.866666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
chapeco,SC,15,7.65,8 days 04:59:58.400000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
santarem,PA,15,7.73,10 days 22:54:02,Retrasos severos: rutas largas o problemas logísticos regionales
maringa,PR,15,7.73,6 days 00:18:01.866666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
uberlandia,MG,15,7.85,7 days 13:08:24.866666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
cariacica,ES,14,7.37,9 days 02:59:30,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
mogi das cruzes,SP,14,7.45,8 days 01:33:16.214285714,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
palmas,TO,14,7.53,4 days 20:41:21.500000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
palmas,TO,14,7.53,0 days 18:48:18,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
angra dos reis,RJ,14,7.57,9 days 02:29:51.500000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
nilopolis,RJ,14,7.57,9 days 16:02:27.642857142,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
olinda,PE,14,7.65,12 days 00:31:48.428571428,Retrasos severos: rutas largas o problemas logísticos regionales
armacao dos buzios,RJ,13,7.1,9 days 20:49:32.307692307,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
feira de santana,BA,13,7.56,5 days 15:48:03.769230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
sao jose do rio preto,SP,13,7.6,8 days 17:06:17.076923076,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
sao caetano do sul,SP,13,7.65,9 days 18:00:26.307692307,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
cachoeiro de itapemirim,ES,13,7.69,9 days 13:31:35.692307692,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
camacari,BA,13,7.88,11 days 13:18:08.538461538,Retrasos severos: rutas largas o problemas logísticos regionales
blumenau,SC,13,7.98,5 days 15:40:47.769230769,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
taboao da serra,SP,13,8.07,3 days 23:19:53,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
ilheus,BA,12,7.45,11 days 05:01:11.750000,Retrasos severos: rutas largas o problemas logísticos regionales
suzano,SP,12,7.55,6 days 20:51:23.833333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
palhoca,SC,12,7.74,10 days 06:00:11.083333333,Retrasos severos: rutas largas o problemas logísticos regionales
pelotas,RS,12,7.79,10 days 13:10:12.416666666,Retrasos severos: rutas largas o problemas logísticos regionales
guaruja,SP,12,7.89,4 days 06:22:24.666666666,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
embu das artes,SP,12,8.11,11 days 19:00:04.583333333,Retrasos severos: rutas largas o problemas logísticos regionales
ananindeua,PA,12,8.22,9 days 17:03:12.333333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
pouso alegre,MG,12,8.28,6 days 13:01:08.583333333,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
jacarei,SP,12,8.39,16 days 18:02:39.333333333,Retrasos severos: rutas largas o problemas logísticos regionales
itaperuna,RJ,12,8.51,11 days 07:29:52.916666666,Retrasos severos: rutas largas o problemas logísticos regionales
paulinia,SP,11,7.8,19 days 11:50:17.090909091,Retrasos severos: rutas largas o problemas logísticos regionales
sao leopoldo,RS,11,7.86,4 days 23:41:00.818181818,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
lavras,MG,11,7.91,15 days 19:20:11.545454545,Retrasos severos: rutas largas o problemas logísticos regionales
londrina,PR,11,7.91,7 days 12:52:04.818181818,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
presidente prudente,SP,11,8.03,7 days 04:18:28,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
itapevi,SP,11,8.03,9 days 15:40:24.636363636,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
criciuma,SC,11,8.09,7 days 21:13:51.727272727,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
betim,MG,11,8.15,7 days 23:15:41.454545454,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
araraquara,SP,11,8.21,11 days 10:01:40.181818181,Retrasos severos: rutas largas o problemas logísticos regionales
cascavel,PR,11,8.27,5 days 20:16:47.272727272,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
pocos de caldas,MG,10,7.63,6 days 03:55:25,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
porto seguro,BA,10,7.69,10 days 09:07:46.300000,Retrasos severos: rutas largas o problemas logísticos regionales
maracanau,CE,10,7.81,7 days 11:08:50.700000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
itapecerica da serra,SP,10,8.0,4 days 13:33:14.300000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
atibaia,SP,10,8.13,6 days 07:36:48.200000,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
valinhos,SP,10,8.13,3 days 01:42:11,Pocos pedidos tardíos pero desviaciones grandes: fallos puntuales de transportista
