customer_state,product_category_name_en,number_sells,number_customers,sell_percentage_%,ratio_customer_buy
SP,bed bath table,5157,4347,4.75,1.19
SP,health beauty,4125,3715,3.8,1.11
SP,sports leisure,3576,3216,3.29,1.11
SP,furniture decor,3454,2720,3.18,1.27
SP,housewares,3184,2665,2.93,1.19
SP,computers accessories,3099,2616,2.85,1.18
SP,watches gifts,2234,2090,2.06,1.07
SP,auto,1716,1585,1.58,1.08
SP,toys,1674,1577,1.54,1.06
SP,telephony,1612,1491,1.48,1.08
RJ,bed bath table,1605,1357,1.48,1.18
SP,garden tools,1532,1333,1.41,1.15
SP,perfumery,1444,1289,1.33,1.12
SP,cool stuff,1339,1242,1.23,1.08
MG,bed bath table,1322,1143,1.22,1.16
SP,baby,1230,1120,1.13,1.1
MG,health beauty,1064,990,0.98,1.07
RJ,furniture decor,1057,963,0.97,1.1
SP,stationery,1044,939,0.96,1.11
RJ,health beauty,1028,928,0.95,1.11
RJ,sports leisure,1015,899,0.93,1.13
SP,electronics,994,862,0.91,1.15
MG,computers accessories,981,850,0.9,1.15
RJ,computers accessories,976,835,0.9,1.17
MG,sports leisure,945,828,0.87,1.14
MG,furniture decor,936,789,0.86,1.19
SP,pet shop,889,763,0.82,1.17
RJ,watches gifts,846,761,0.78,1.11
RJ,housewares,845,717,0.78,1.18
SP,fashion bags accessories,841,715,0.77,1.18
MG,housewares,814,685,0.75,1.19
SP,office furniture,655,601,0.6,1.09
RJ,garden tools,634,538,0.58,1.18
MG,watches gifts,626,537,0.58,1.17
RS,bed bath table,611,530,0.56,1.15
MG,garden tools,603,504,0.55,1.2
RJ,toys,570,483,0.52,1.18
RS,furniture decor,555,483,0.51,1.15
PR,furniture decor,516,461,0.47,1.12
RJ,cool stuff,502,452,0.46,1.11
MG,auto,499,450,0.46,1.11
MG,toys,488,442,0.45,1.1
RS,computers accessories,481,438,0.44,1.1
PR,sports leisure,476,429,0.44,1.11
MG,telephony,474,420,0.44,1.13
SP,consoles games,472,416,0.43,1.13
RS,sports leisure,468,414,0.43,1.13
PR,bed bath table,463,403,0.43,1.15
MG,cool stuff,454,402,0.42,1.13
SP,luggage accessories,451,398,0.42,1.13
RJ,perfumery,439,393,0.4,1.12
RJ,auto,431,393,0.4,1.1
RJ,electronics,430,389,0.4,1.11
RS,housewares,429,388,0.39,1.11
RS,health beauty,427,386,0.39,1.11
SP,construction tools construction,422,375,0.39,1.13
RJ,telephony,419,367,0.39,1.14
PR,health beauty,414,345,0.38,1.2
MG,perfumery,396,340,0.36,1.16
PR,computers accessories,383,339,0.35,1.13
MG,baby,366,334,0.34,1.1
SC,sports leisure,356,333,0.33,1.07
RJ,baby,347,332,0.32,1.05
SC,furniture decor,347,319,0.32,1.09
SP,home appliances,341,309,0.31,1.1
BA,health beauty,340,294,0.31,1.16
PR,housewares,336,282,0.31,1.19
SC,bed bath table,326,282,0.3,1.16
RJ,stationery,319,271,0.29,1.18
SC,computers accessories,309,270,0.28,1.14
SC,health beauty,304,268,0.28,1.13
RJ,office furniture,301,266,0.28,1.13
PR,watches gifts,299,260,0.28,1.15
SP,small appliances,296,259,0.27,1.14
MG,electronics,295,252,0.27,1.17
BA,sports leisure,286,250,0.26,1.14
SP,food,283,247,0.26,1.15
RS,telephony,283,247,0.26,1.15
RS,garden tools,281,244,0.26,1.15
MG,stationery,269,242,0.25,1.11
SP,home construction,264,239,0.24,1.1
SP,musical instruments,260,228,0.24,1.14
RS,cool stuff,259,226,0.24,1.15
MG,fashion bags accessories,259,224,0.24,1.16
SC,housewares,257,222,0.24,1.16
BA,bed bath table,254,220,0.23,1.15
PR,telephony,250,220,0.23,1.14
BA,computers accessories,250,219,0.23,1.14
MG,pet shop,250,218,0.23,1.15
BA,furniture decor,247,215,0.23,1.15
DF,health beauty,242,214,0.22,1.13
BA,telephony,241,214,0.22,1.13
PE,health beauty,233,212,0.21,1.1
GO,bed bath table,231,211,0.21,1.09
RS,watches gifts,230,206,0.21,1.12
PR,auto,228,203,0.21,1.12
GO,health beauty,227,202,0.21,1.12
BA,watches gifts,225,200,0.21,1.12
SP,books general interest,224,200,0.21,1.12
ES,bed bath table,223,198,0.21,1.13
DF,sports leisure,218,197,0.2,1.11
PR,cool stuff,214,197,0.2,1.09
RJ,pet shop,211,197,0.19,1.07
RS,toys,208,192,0.19,1.08
PR,garden tools,207,189,0.19,1.1
RS,baby,206,188,0.19,1.1
DF,bed bath table,206,184,0.19,1.12
SP,drinks,205,181,0.19,1.13
PR,toys,202,175,0.19,1.15
SP,home confort,201,173,0.18,1.16
SP,furniture living room,200,172,0.18,1.16
RJ,fashion bags accessories,199,170,0.18,1.17
SC,watches gifts,184,166,0.17,1.11
RS,auto,184,163,0.17,1.13
SC,garden tools,183,163,0.17,1.12
MG,luggage accessories,182,160,0.17,1.14
SC,auto,178,160,0.16,1.11
PR,electronics,177,159,0.16,1.11
BA,garden tools,177,157,0.16,1.13
ES,sports leisure,173,156,0.16,1.11
SC,telephony,169,152,0.16,1.11
MG,office furniture,167,151,0.15,1.11
RS,electronics,165,149,0.15,1.11
GO,sports leisure,163,148,0.15,1.1
